*GLOBAL*,Conventions,"COARDS, CF-1.6, ACDD-1.3, NCCSV-1.0"
*GLOBAL*,cdm_data_type,"Trajectory"
*GLOBAL*,cdm_trajectory_variables,"trajectory_id"
*GLOBAL*,comment,"Seawater Measurements\nSea Surface Temperature and Salinity:\nSea Surface Temperature (SST) in degrees C is from the ship\u2019s Hull Probe (SBT38, calibrated on Sep. 17, 2019), Salinity in PSU is from the ship's SeaBird  thermosalinograph (SBE 45, calibrated on Sep. 25, 2019). The temperature probe and water inlet for the thermosalinograph were located 5.3 meters below the water line. The underway chlorophyll data are from the ship\u2019s Seapoint fluorometer, which was calibrated by the factory on Nov. 21, 2019."
*GLOBAL*,contributor_name,"Johnson, James E./NOAA-PMEL/Phone: 206-526-6355 /Address: 7600 Sand Pt. Wy. NE,Seattle,WA 98115 /email: james.e.johnson@noaa.gov"
*GLOBAL*,creator_name,"Johnson, James"
*GLOBAL*,creator_email,"james.e.johnson@noaa.gov"
*GLOBAL*,creator_url,""
*GLOBAL*,history,""
*GLOBAL*,platform,"Atlantis"
*GLOBAL*,product_version,"1"
*GLOBAL*,project,"CalNex"
*GLOBAL*,sourceUrl,""
*GLOBAL*,title,"PMEL Atmospheric Chemistry CalNex seawater data"
*GLOBAL*,featureType,"Trajectory"
*GLOBAL*,infoUrl,"https://saga.pmel.noaa.gov/data/index.html"
time,*DATA_TYPE*,string
time,_CoordinateAxisType,"Time"
time,axis,"T"
time,ioos_category,"Time"
time,long_name,"Datetime UTC"
time,standard_name,"time"
time,source_name,"datetime_utc"
time,time_origin,"01/01/1970 00:00"
time,time_precision,"1970-01-01T00:00:00Z"
time,units,"yyyy-MM-ddTHH:MM:ssZ"
trajectory_id,*DATA_TYPE*,string
trajectory_id,cf_role,"trajectory_id"
trajectory_id,ioos_category,"Identifier"
trajectory_id,long_name,"Trajectory ID"
duration,*DATA_TYPE*,int
duration,long_name,"Duration"
duration,units,"second"
latitude,*DATA_TYPE*,double
latitude,long_name,"Latitude"
latitude,units,"degrees_north"
latitude,instrument,"GPS"
latitude,source,"surface observation"
latitude,valid_min,-90.0
latitude,valid_max,90.0
latitude,uncertainty,""
latitude,standard_name,"latitude"
latitude,history,""
latitude,comment,""
latitude,description,""
latitude,_CoordinateAxisType,"Lat"
latitude,axis,"Y"
latitude,ioos_category,"Location"
longitude,*DATA_TYPE*,double
longitude,long_name,"Longitude"
longitude,units,"degrees_east"
longitude,instrument,"GPS"
longitude,source,"surface observation"
longitude,valid_min,-180.0
longitude,valid_max,180.0
longitude,uncertainty,""
longitude,standard_name,"longitude"
longitude,history,""
longitude,comment,""
longitude,description,""
longitude,_CoordinateAxisType,"Lon"
longitude,axis,"X"
longitude,ioos_category,"Location"
altitude,*DATA_TYPE*,double
altitude,long_name,"height above mean sea level"
altitude,units,"m"
altitude,instrument,""
altitude,source,""
altitude,valid_min,0
altitude,valid_max,None
altitude,uncertainty,""
altitude,standard_name,"altitude"
altitude,history,""
altitude,comment,""
altitude,description,""
sea_surface_temperature,*DATA_TYPE*,double
sea_surface_temperature,long_name,"Sea Surface Temperature"
sea_surface_temperature,units,"degree_C"
sea_surface_temperature,instrument,"Ship Thermosalinograph"
sea_surface_temperature,source,"surface ocean observation"
sea_surface_temperature,valid_min,-10.0
sea_surface_temperature,valid_max,45.0
sea_surface_temperature,uncertainty,""
sea_surface_temperature,standard_name,"sea_surface_temperature"
sea_surface_temperature,history,""
sea_surface_temperature,comment,""
sea_surface_temperature,description,""
salinity,*DATA_TYPE*,double
salinity,long_name,"Sea Surface Salinity"
salinity,units,"PSU"
